iter	Passed	Remaining
0	1	118
1	1	76
2	2	84
3	2	70
4	3	61
5	3	55
6	3	51
7	4	48
8	4	45
9	4	43
10	5	42
11	5	40
12	5	38
13	6	37
14	6	36
15	6	34
16	6	33
17	7	33
18	7	32
19	7	31
20	8	30
21	8	30
22	8	29
23	9	28
24	9	27
25	9	27
26	9	26
27	10	26
28	10	25
29	10	25
30	11	24
31	11	24
32	11	23
33	11	23
34	12	22
35	12	22
36	12	22
37	13	21
38	13	21
39	13	20
40	14	20
41	14	19
42	14	19
43	14	18
44	15	18
45	15	18
46	15	17
47	16	17
48	16	17
49	16	16
50	17	16
51	17	16
52	17	15
53	18	15
54	18	14
55	18	14
56	18	14
57	19	13
58	19	13
59	19	13
60	20	13
61	20	12
62	21	12
63	21	11
64	21	11
65	21	11
66	22	10
67	22	10
68	22	10
69	23	9
70	23	9
71	23	9
72	23	8
73	24	8
74	24	8
75	24	7
76	25	7
77	25	7
78	25	6
79	26	6
80	26	6
81	26	5
82	27	5
83	27	5
84	27	4
85	28	4
86	28	4
87	28	3
88	29	3
89	29	3
90	29	2
91	29	2
92	30	2
93	30	1
94	30	1
95	31	1
96	31	0
97	31	0
98	31	0
99	32	0
