iter	Passed	Remaining
0	1	1288
1	1	817
2	2	668
3	2	578
4	2	522
5	2	482
6	3	455
7	3	439
8	3	425
9	4	409
10	4	400
11	4	389
12	5	380
13	5	375
14	5	370
15	5	366
16	6	362
17	6	357
18	6	356
19	7	352
20	7	348
21	7	346
22	8	344
23	8	342
24	8	341
25	9	338
26	9	340
27	9	337
28	10	335
29	10	334
30	10	332
31	11	353
32	12	351
33	12	348
34	12	345
35	12	344
36	13	343
37	13	342
38	13	340
39	14	338
40	14	336
41	14	336
42	15	335
43	15	333
44	15	332
45	15	331
46	16	329
47	16	328
48	16	328
49	17	327
50	17	327
51	17	326
52	18	326
53	18	324
54	18	323
55	19	322
56	19	322
57	19	322
58	20	321
59	20	320
60	20	319
61	21	319
62	21	317
63	21	317
64	22	318
65	22	319
66	22	320
67	23	321
68	23	323
69	24	327
70	25	332
71	26	335
72	26	338
73	27	343
74	27	344
75	28	346
76	28	347
77	29	350
78	30	350
79	30	349
80	30	348
81	31	347
82	31	344
83	31	343
84	31	342
85	32	341
86	32	340
87	32	339
88	33	338
89	33	337
90	33	335
91	33	334
92	34	333
93	34	332
94	34	331
95	35	330
96	35	329
97	35	327
98	35	326
99	36	326
100	36	325
101	36	324
102	37	323
103	37	322
104	37	321
105	38	321
106	38	320
107	38	318
108	38	317
109	39	316
110	39	315
111	39	314
112	39	313
113	40	313
114	40	312
115	40	311
116	41	311
117	41	310
118	41	309
119	42	308
120	42	307
121	42	306
122	42	305
123	43	305
124	43	304
125	43	304
126	44	303
127	44	306
128	45	305
129	45	304
130	45	304
131	46	303
132	46	302
133	46	301
134	47	301
135	47	300
136	47	299
137	47	299
138	48	298
139	48	298
140	48	297
141	49	296
142	49	296
143	49	295
144	49	294
145	50	293
146	50	293
147	50	292
148	51	292
149	51	291
150	51	291
151	52	291
152	52	290
153	52	289
154	53	289
155	53	288
156	53	288
157	54	288
158	54	287
159	54	286
160	54	285
161	55	288
162	56	287
163	56	287
164	56	287
165	57	286
166	57	285
167	57	285
168	57	284
169	58	284
170	58	283
171	58	283
172	59	282
173	59	282
174	59	281
175	60	281
176	60	280
177	61	283
178	61	282
179	61	282
180	62	281
181	62	281
182	62	280
183	63	279
184	63	279
185	63	278
186	64	278
187	64	277
188	64	277
189	64	276
190	65	276
191	65	275
192	65	275
193	66	274
194	66	274
195	66	273
196	67	273
